chr	ID	start	end	strand	RGA type	scaffold 	refined scaffold
4	Lus10004073	16988024	16989330	-	TN	scaffold808	scaffold808b
4	Lus10004075	16976979	16985118	-	TNL	scaffold808	scaffold808b
1	Lus10002822	4927976	4929043	+	RLP	scaffold810	scaffold810
14	Lus10013317	2738236	2740995	-	TM-CC	scaffold812	scaffold812
14	Lus10013342	2629331	2632518	+	RLK	scaffold812	scaffold812
14	Lus10013378	2409979	2415293	-	TM-CC	scaffold812	scaffold812
14	Lus10013383	2397199	2400712	-	RLK	scaffold812	scaffold812
14	Lus10013384	2391443	2394021	-	RLK	scaffold812	scaffold812
14	Lus10013385	2385688	2388266	-	RLK	scaffold812	scaffold812
10	Lus10032735	11256146	11258197	+	RLK	scaffold82	scaffold82
10	Lus10032741	11377322	11381139	-	RLK	scaffold82	scaffold82
10	Lus10032759	11656882	11659758	-	NL	scaffold82	scaffold82
10	Lus10032781	11855669	11856058	+	NBS	scaffold82	scaffold82
15	Lus10013910	1752890	1755753	-	RLK	scaffold820	scaffold820
15	Lus10013968	1508178	1511290	+	RLK	scaffold820	scaffold820
15	Lus10013994	1356858	1359261	+	RLP	scaffold820	scaffold820
1	Lus10006052	28669696	28672239	+	RLK	scaffold821	scaffold821
1	Lus10006056	28681727	28684082	-	RLK	scaffold821	scaffold821
1	Lus10006057	28686182	28689003	-	RLK	scaffold821	scaffold821
1	Lus10006067	28745009	28748864	+	RLK	scaffold821	scaffold821
13	Lus10000577	334278	336233	+	RLK	scaffold825	scaffold825
5	Lus10008486	1714708	1718110	-	RLK	scaffold835	scaffold835a
5	Lus10008491	1696933	1698781	-	RLK	scaffold835	scaffold835a
8	Lus10008519	18629585	18648768	-	TNL	scaffold835	scaffold835b
8	Lus10008526	18598112	18602082	+	TNL	scaffold835	scaffold835b
8	Lus10008540	18527829	18529634	-	RLK	scaffold835	scaffold835b
7	Lus10005418	17844662	17849930	-	RLK	scaffold847	scaffold847
7	Lus10005430	17908381	17909133	+	RLP	scaffold847	scaffold847
6	Lus10001423	29913	32141	+	RLK	scaffold85	scaffold85
8	Lus10004905	13873240	13875007	-	TX	scaffold858	scaffold858
8	Lus10004911	13899203	13903335	-	TNL	scaffold858	scaffold858
15	Lus10007281	1866380	1869636	+	RLK	scaffold859	scaffold859
15	Lus10007283	1876356	1877726	+	RLK	scaffold859	scaffold859
15	Lus10007284	1880645	1881943	-	RLK	scaffold859	scaffold859
15	Lus10007287	1893243	1896125	+	RLK	scaffold859	scaffold859
15	Lus10007292	1919633	1922263	+	RLK	scaffold859	scaffold859
15	Lus10007294	1929306	1930613	-	RLP	scaffold859	scaffold859
7	Lus10040102	4914522	4918456	+	TM-CC	scaffold86	scaffold86a
7	Lus10040160	4572684	4574663	+	RLK	scaffold86	scaffold86a
7	Lus10040185	4447672	4450144	+	RLK	scaffold86	scaffold86a
7	Lus10040186	4443831	4446900	+	RLK	scaffold86	scaffold86a
7	Lus10040201	4348943	4350734	+	RLK	scaffold86	scaffold86a
7	Lus10040208	4311389	4312487	-	CN	scaffold86	scaffold86a
7	Lus10040276	3955862	3957907	-	RLK	scaffold86	scaffold86a
9	Lus10040315	4355025	4361780	+	TM-CC	scaffold86	scaffold86b
9	Lus10040368	4117102	4119942	+	NL	scaffold86	scaffold86b
9	Lus10040381	4046174	4048581	+	RLK	scaffold86	scaffold86b
9	Lus10040455	3677499	3681126	-	RLK	scaffold86	scaffold86b
9	Lus10040459	3662170	3663931	-	RLK	scaffold86	scaffold86b
9	Lus10040467	3633793	3637075	+	RLK	scaffold86	scaffold86b
9	Lus10040482	3556000	3558630	+	TM-CC	scaffold86	scaffold86b
9	Lus10040500	3458671	3461533	-	RLK	scaffold86	scaffold86b
7	Lus10015453	17016530	17018042	+	TN	scaffold860	scaffold860
7	Lus10015484	16843231	16846312	-	RLK	scaffold860	scaffold860
7	Lus10015541	16557735	16563095	+	RLK	scaffold860	scaffold860
7	Lus10015549	16521288	16526411	+	RLK	scaffold860	scaffold860
12	Lus10031350	20747676	20750404	+	RLK	scaffold863	scaffold863
12	Lus10031374	20662507	20669280	-	RLK	scaffold863	scaffold863
12	Lus10031383	20630415	20633058	-	RLP	scaffold863	scaffold863
12	Lus10031394	20598127	20599065	-	TM-CC	scaffold863	scaffold863
12	Lus10031401	20558893	20562051	+	RLK	scaffold863	scaffold863
12	Lus10031496	20181425	20184114	-	TM-CC	scaffold863	scaffold863
12	Lus10031577	19806576	19808408	+	RLK	scaffold863	scaffold863
12	Lus10031579	19799995	19802426	+	RLK	scaffold863	scaffold863
12	Lus10031580	19796490	19799363	+	RLK	scaffold863	scaffold863
12	Lus10031581	19793340	19796199	+	RLK	scaffold863	scaffold863
12	Lus10031582	19790086	19792561	+	RLK	scaffold863	scaffold863
12	Lus10031585	19778048	19781521	-	TM-CC	scaffold863	scaffold863
12	Lus10031591	19752361	19756152	-	RLK	scaffold863	scaffold863
12	Lus10031596	19725356	19727904	-	RLK	scaffold863	scaffold863
12	Lus10031603	19703176	19705988	-	RLK	scaffold863	scaffold863
12	Lus10031627	19579879	19581904	+	TM-CC	scaffold863	scaffold863
12	Lus10031628	19572572	19576385	+	RLK	scaffold863	scaffold863
6	Lus10015091	1188017	1195595	+	RLK	scaffold866	scaffold866
6	Lus10015094	1180634	1183154	+	RLK	scaffold866	scaffold866
6	Lus10015095	1177123	1180101	+	RLK	scaffold866	scaffold866
6	Lus10015096	1173698	1176170	+	RLK	scaffold866	scaffold866
6	Lus10015175	811051	813840	-	TM-CC	scaffold866	scaffold866
6	Lus10015196	725346	727321	+	TM-CC	scaffold866	scaffold866
15	Lus10000551	11511868	11514654	-	TM-CC	scaffold875	scaffold875
11	Lus10009005	19582620	19586840	+	TNL	scaffold883	scaffold883
11	Lus10009062	19285333	19290384	+	RLK	scaffold883	scaffold883
14	Lus10003268	9319563	9327026	-	TX	scaffold885	scaffold885
14	Lus10003274	9366578	9369555	+	RLK	scaffold885	scaffold885
12	Lus10003063	18696866	18699442	+	RLK	scaffold888	scaffold888
12	Lus10003066	18708819	18712440	-	RLK	scaffold888	scaffold888
12	Lus10003072	18723654	18726224	-	RLK	scaffold888	scaffold888
11	Lus10026201	4935086	4939390	+	TNL	scaffold898	scaffold898
11	Lus10026252	4718183	4722148	-	TM-CC	scaffold898	scaffold898
11	Lus10026390	4132772	4133863	-	RLK	scaffold898	scaffold898
11	Lus10026415	4042844	4046047	-	RLP	scaffold898	scaffold898
13	Lus10034637	14239315	14242336	+	RLK	scaffold9	scaffold9
13	Lus10034642	14265258	14268273	+	RLK	scaffold9	scaffold9
13	Lus10034697	14567316	14570767	+	TNL	scaffold9	scaffold9
11	Lus10016695	6356722	6358264	-	TM-CC	scaffold903	scaffold903
11	Lus10016737	6544198	6546556	+	RLK	scaffold903	scaffold903
11	Lus10016770	6690288	6696283	+	RLP	scaffold903	scaffold903
11	Lus10016793	6797863	6799713	+	RLK	scaffold903	scaffold903
6	Lus10019459	3347653	3350056	-	TM-CC	scaffold906	scaffold906
6	Lus10019517	3071715	3072708	+	TM-CC	scaffold906	scaffold906
6	Lus10019522	3044636	3047842	+	TM-CC	scaffold906	scaffold906
6	Lus10019525	3023772	3026892	-	RLK	scaffold906	scaffold906
6	Lus10019530	3003664	3006681	+	NBS	scaffold906	scaffold906
9	Lus10010443	2843573	2846125	-	RLK	scaffold910	scaffold910
9	Lus10010501	2588935	2596999	+	TM-CC	scaffold910	scaffold910
9	Lus10005689	21017044	21020053	-	RLK	scaffold911	scaffold911
8	Lus10016590	14151017	14152525	+	RLK	scaffold915	scaffold915
8	Lus10016612	14267487	14271419	-	RLP	scaffold915	scaffold915
8	Lus10016620	14319585	14330057	+	RLK	scaffold915	scaffold915
13	Lus10030498	18981056	18981736	+	TX	scaffold917	scaffold917a
13	Lus10030526	18852648	18855781	-	RLK	scaffold917	scaffold917a
13	Lus10030546	18773217	18774050	-	RLK	scaffold917	scaffold917a
2	Lus10030587	23955411	23958647	-	RLK	scaffold917	scaffold917b
2	Lus10030589	23945145	23948006	-	RLK	scaffold917	scaffold917b
2	Lus10030591	23930103	23933058	+	RLK	scaffold917	scaffold917b
2	Lus10030610	23847085	23851043	+	RLK	scaffold917	scaffold917b
2	Lus10030626	23765974	23768108	-	RLK	scaffold917	scaffold917b
2	Lus10030630	23753932	23756090	-	RLK	scaffold917	scaffold917b
2	Lus10030634	23729163	23733190	-	RLK	scaffold917	scaffold917b
2	Lus10030638	23688356	23691717	-	RLK	scaffold917	scaffold917b
2	Lus10030658	23604906	23608368	+	RLP	scaffold917	scaffold917b
12	Lus10015226	3379634	3380953	+	RLP	scaffold924	scaffold924
12	Lus10015239	3311958	3317290	-	RLK	scaffold924	scaffold924
12	Lus10015275	3146090	3147637	-	RLK	scaffold924	scaffold924
12	Lus10015277	3133318	3136716	+	RLK	scaffold924	scaffold924
12	Lus10015313	2971696	2973828	-	RLK	scaffold924	scaffold924
12	Lus10015320	2940008	2942561	-	RLP	scaffold924	scaffold924
12	Lus10015326	2904225	2905922	-	RLK	scaffold924	scaffold924
1	Lus10012022	5255388	5259043	-	RLK	scaffold931	scaffold931
1	Lus10012063	5065097	5065855	+	TX	scaffold931	scaffold931
4	Lus10010724	9819994	9822364	+	TM-CC	scaffold94	scaffold94a
1	Lus10016257	8880387	8883383	+	RLK	scaffold947	scaffold947
1	Lus10016276	8812941	8817268	-	RLK	scaffold947	scaffold947
10	Lus10027393	1683519	1685489	+	RLK	scaffold96	scaffold96
10	Lus10027507	2376758	2387318	-	RLP	scaffold96	scaffold96
10	Lus10027509	2390494	2392959	+	RLK	scaffold96	scaffold96
10	Lus10027568	2658566	2660605	+	RLK	scaffold96	scaffold96
12	Lus10001055	20856063	20859634	-	RLK	scaffold964	scaffold964
11	Lus10031108	18033051	18038082	+	RLK	scaffold977	scaffold977a
11	Lus10031123	18113016	18116256	-	RLK	scaffold977	scaffold977a
11	Lus10031161	18349863	18353459	+	RLK	scaffold977	scaffold977a
11	Lus10031169	18382394	18388254	+	TM-CC	scaffold977	scaffold977a
11	Lus10031199	18561290	18567652	-	RLK	scaffold977	scaffold977a
11	Lus10031230	18696229	18699398	-	RLK	scaffold977	scaffold977a
11	Lus10031231	18700928	18703536	+	RLK	scaffold977	scaffold977a
11	Lus10031290	19014401	19016992	-	RLK	scaffold977	scaffold977a
11	Lus10031337	19262876	19265328	+	RLK	scaffold977	scaffold977a
10	Lus10031341	529142	532937	-	RLK	scaffold977	scaffold977b
12	Lus10023220	2345190	2348295	+	RLK	scaffold98	scaffold98
12	Lus10023272	2130981	2135329	-	TNL	scaffold98	scaffold98
12	Lus10023323	1893862	1897997	+	RLK	scaffold98	scaffold98
12	Lus10023329	1873149	1874696	-	TN	scaffold98	scaffold98
12	Lus10023346	1792516	1796769	-	RLK	scaffold98	scaffold98
12	Lus10023391	1559945	1566644	-	RLK	scaffold98	scaffold98
14	Lus10009423	506807	514116	-	RLK	scaffold981	scaffold981
14	Lus10009427	487630	490109	+	RLK	scaffold981	scaffold981
14	Lus10009429	457234	460472	-	RLK	scaffold981	scaffold981
14	Lus10009476	220595	223771	-	RLK	scaffold981	scaffold981
9	Lus10007722	18512773	18516667	+	TNL	scaffold993	scaffold993
